time_sec,altitude_agl_ft,altitude_msl_ft,airspeed_kt,groundspeed_kt,vertical_speed_fpm,pitch_deg,roll_deg,yaw_deg,throttle,elevator,aileron,rudder,engine_rpm,fuel_flow
58.60999999999691,4.317450653660322,4.317473199218512,16.95263590659956,16.953712296614174,-0.021088319591566207,0.491410948637466,0.28117921231904025,50.306931899204656,0.9,0.0,0.0,0.0,0.0,0.0
58.70999999999689,4.317415570639127,4.317438118159771,16.906548945149304,16.90762240247016,-0.020999641085789333,0.48996317297434894,0.2811685447772015,50.30492689103583,0.9,0.0,0.0,0.0,0.0,0.0
58.80999999999687,4.317380650560275,4.317403189837933,16.86048460354796,16.861555126239875,-0.020913077362654797,0.48851959574147746,0.2811579328109027,50.3029363405089,0.9,0.0,0.0,0.0,0.0,0.0
58.90999999999685,4.317345867354555,4.317368406802416,16.81444281740687,16.815510410397437,-0.02082843257221967,0.4870802183454848,0.2811473913099888,50.30096019642749,0.9,0.0,0.0,0.0,0.0,0.0
59.00999999999683,4.317311221021952,4.3173337653279305,16.768423511558854,16.76948817631762,-0.02074337442521057,0.4856450613746481,0.28113691548406805,50.29899839948978,0.9,0.0,0.0,0.0,0.0,0.0
59.10999999999681,4.317276727855746,4.317299265414476,16.72242661482782,16.723488352834746,-0.0206578013144898,0.48421412057892693,0.2811265124471603,50.29705089281733,0.9,0.0,0.0,0.0,0.0,0.0
59.20999999999679,4.317242365045346,4.317264907062054,16.676452052889776,16.6775108622401,-0.020572231610055947,0.48278737797388865,0.28111617967473845,50.29511761681285,0.9,0.0,0.0,0.0,0.0,0.0
59.30999999999677,4.3172081554013255,4.317230693995953,16.630499761506318,16.631555647068016,-0.02048608643142713,0.48136482609052766,0.2811059110144134,50.29319852003347,0.9,0.0,0.0,0.0,0.0,0.0
59.40999999999675,4.317174079371762,4.317196618765593,16.58456966676198,16.585622629993303,-0.020400542301164393,0.4799464537243201,0.2810957103876968,50.29129354257953,0.9,0.0,0.0,0.0,0.0,0.0
59.50999999999673,4.317140153249922,4.3171626925468445,16.538661694653054,16.539711733686094,-0.020315702855282503,0.4785322544888073,0.28108557063710493,50.28940262460619,0.9,0.0,0.0,0.0,0.0,0.0
